name,roll_no,email,pin,is_verified,is_approved,wallet_balance
tester,106122011,tester@example.com,1234,true,true,9999999350
User1,107100001,user1@nitt.edu,1234,true,true,124578
User2,107100002,user2@nitt.edu,1234,true,true,120605
User3,107100003,user3@nitt.edu,1234,true,true,183152
User4,107100004,user4@nitt.edu,1234,true,true,104518
User5,107100005,user5@nitt.edu,1234,true,true,177466
User6,107100006,user6@nitt.edu,1234,true,true,139168
User7,107100007,user7@nitt.edu,1234,true,true,182153
User8,107100008,user8@nitt.edu,1234,true,true,102825
User9,107100009,user9@nitt.edu,1234,true,true,178966
User10,107100010,user10@nitt.edu,1234,true,true,139681
User11,107100011,user11@nitt.edu,1234,true,true,112259
User12,107100012,user12@nitt.edu,1234,true,true,149831
User13,107100013,user13@nitt.edu,1234,true,true,173267
User14,107100014,user14@nitt.edu,1234,true,true,137823
User15,107100015,user15@nitt.edu,1234,true,true,139967
User16,107100016,user16@nitt.edu,1234,true,true,122735
User17,107100017,user17@nitt.edu,1234,true,true,124471
User18,107100018,user18@nitt.edu,1234,true,true,162674
User19,107100019,user19@nitt.edu,1234,true,true,170235
User20,107100020,user20@nitt.edu,1234,true,true,187268
User21,107100021,user21@nitt.edu,1234,true,true,155199
User22,107100022,user22@nitt.edu,1234,true,true,130540
User23,107100023,user23@nitt.edu,1234,true,true,153455
User24,107100024,user24@nitt.edu,1234,true,true,104412
User25,107100025,user25@nitt.edu,1234,true,true,158717
User26,107100026,user26@nitt.edu,1234,true,true,145380
User27,107100027,user27@nitt.edu,1234,true,true,124154
User28,107100028,user28@nitt.edu,1234,true,true,132588
User29,107100029,user29@nitt.edu,1234,true,true,173586
User30,107100030,user30@nitt.edu,1234,true,true,164824
User31,107100031,user31@nitt.edu,1234,true,true,157219
User32,107100032,user32@nitt.edu,1234,true,true,181337
User33,107100033,user33@nitt.edu,1234,true,true,136098
User34,107100034,user34@nitt.edu,1234,true,true,119810
User35,107100035,user35@nitt.edu,1234,true,true,105367
User36,107100036,user36@nitt.edu,1234,true,true,123780
User37,107100037,user37@nitt.edu,1234,true,true,124520
User38,107100038,user38@nitt.edu,1234,true,true,157798
User39,107100039,user39@nitt.edu,1234,true,true,112074
User40,107100040,user40@nitt.edu,1234,true,true,184059
User41,107100041,user41@nitt.edu,1234,true,true,125653
User42,107100042,user42@nitt.edu,1234,true,true,197683
User43,107100043,user43@nitt.edu,1234,true,true,109219
User44,107100044,user44@nitt.edu,1234,true,true,162787
User45,107100045,user45@nitt.edu,1234,true,true,161177
User46,107100046,user46@nitt.edu,1234,true,true,173182
User47,107100047,user47@nitt.edu,1234,true,true,182808
User48,107100048,user48@nitt.edu,1234,true,true,143328
User49,107100049,user49@nitt.edu,1234,true,true,100478
User50,107100050,user50@nitt.edu,1234,true,true,145478
